No.,Bout ID,Boxer,Date,Venue,ID,WeeklyID,lnRPurse,RPurse,Purse,RichA,Losers,DOB,Age,,weight,,RDS,TFights,Wins,KO,Losses,L-KO,Draws,OTFights,OWins,OKO,,OLosses,OL-KO,ODraws,,,,,NeverKO,ORecentKO,ORecentKOsq,Debut,ODebut,WinPerDiff,Rematch,Unify,W-Title,T-Belt,R-Title,R-Belt,Eliminator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,22,"Gonzalez, Joel",2009.02.14,Reno Events Centre,855,4,7.448890987,1717.956853,1500,0,1,77.07.03,31.58333333,,147,,4,4,2,1,2,2,0,2,2,1,,0,0,0,,,,,0,2,4,0,0,-50,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,23,"Hinkey, Derek",2009.02.14,Reno Events Centre,1031,4,7.73657306,2290.609137,2000,0,0,80.05.11,28.75,,162,,6,7,6,6,1,1,0,14,6,2,,6,1,2,,,,,0,6,36,0,0,42.85714286,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,24,"Martyniouk, Stan",2009.02.14,Reno Events Centre,1413,4,7.225747436,1374.365482,1200,0,0,85.06.22,23.66666667,,133,,4,4,4,1,0,0,0,11,3,1,,7,4,1,,,,,0,9,81,0,0,72.72727273,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,25,"Herrera, Yogli J.",2009.02.14,Reno Events Centre,1019,4,8.142038168,3435.913706,3000,0,0,82.07.25,26.58333333,,125,,8,27,22,15,5,1,0,12,11,6,,1,0,0,,,,,0,1,1,0,0,-10.18518519,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,26,"Bloomfield, Villi",2009.03.06,Orleans Hotel,229,5,7.448890987,1717.956853,1500,0,0,81.12.19,27.28127854,,246,,6,13,9,4,3,1,1,20,15,7,,4,2,1,,,,,0,2,4,0,0,-5.769230769,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,27,"Battease, Brian D.",2009.03.06,Orleans Hotel,179,5,7.043425879,1145.304569,1000,0,0,83.09.11,25.5,,124,,4,4,3,1,0,0,1,5,2,0,,3,2,0,,,,,1,0,0,0,0,35,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,27,"Hidalgo, Isaac",2009.03.06,Orleans Hotel,1021,5,7.043425879,1145.304569,1000,0,1,88.12.21,20.27579909,,124,,4,5,2,0,3,2,0,4,3,1,,0,0,1,,,,,0,2,4,0,0,-35,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,28,"Barragan, Victor",2009.03.06,Orleans Hotel,162,5,7.631212544,2061.548223,1800,0,0,81.09.11,27.5,,199,,6,13,9,2,4,2,0,5,3,2,,2,2,0,,,,,0,1,1,0,0,9.230769231,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,28,"Namauu, Henry CJ",2009.03.06,Orleans Hotel,1601,5,7.448890987,1717.956853,1500,0,0,84.09.04,24.5,,199,,6,5,3,2,2,2,0,13,9,2,,4,2,0,,,,,0,10,100,0,0,-9.230769231,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,29,"Scott, DeMark J.",2009.03.06,Orleans Hotel,2109,5,7.043425879,1145.304569,1000,0,1,81.04.29,27.91666667,,174,,4,5,2,1,2,1,1,7,2,2,,4,3,1,,,,,0,4,16,0,0,11.42857143,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
